,firstname,lastname,title,birthplace,birthdate,deathday,fraktion,jobs,total_speeches,sessions_attended,Beifall_party,Beifall_person,Beifall_total,Beifall_person_other_party_speaker,Beifall_while_speaker,Beifall_per_speaker,Zwischenruf_party,Zwischenruf_person,Zwischenruf_total,Zwischenruf_person_other_party_speaker,Zwischenruf_while_speaker,Zwischenruf_per_speaker,Lachen_party,Lachen_person,Lachen_total,Lachen_person_other_party_speaker,Lachen_while_speaker,Lachen_per_speaker,Zuruf_party,Zuruf_person,Zuruf_total,Zuruf_person_other_party_speaker,Zuruf_while_speaker,Zuruf_per_speaker,Widerspruch_party,Widerspruch_person,Widerspruch_total,Widerspruch_person_other_party_speaker,Widerspruch_while_speaker,Widerspruch_per_speaker,Heiterkeit_party,Heiterkeit_person,Heiterkeit_total,Heiterkeit_person_other_party_speaker,Heiterkeit_while_speaker,Heiterkeit_per_speaker
11004334,roy,kuehne,Dr.,Magdeburg,27.09.1967,,0.0,"['Diplom-Sporttherapeut', 'Physiotherapeut']",17,230,42464,5,42469,0,61,3.588235294117647,1126,15,1141,0,45,2.6470588235294117,357,0,357,0,1,0.058823529411764705,232,3,235,0,6,0.35294117647058826,173,0,173,0,0,0.0,658,0,658,0,1,0.058823529411764705
11004336,silke,launert,Dr.,Stadtsteinach,27.12.1976,,0.0,['Richterin am Landgericht a.D.'],29,215,40251,31,40282,0,139,4.793103448275862,1070,14,1084,0,109,3.7586206896551726,351,1,352,1,0,0.0,218,7,225,0,14,0.4827586206896552,155,1,156,0,2,0.06896551724137931,637,1,638,0,2,0.06896551724137931
11004337,katja,leikert,Dr.,Neustadt an der Weinstraße,03.03.1975,,0.0,['Politikwissenschaftlerin'],31,228,42122,3,42125,0,168,5.419354838709677,1138,4,1142,0,110,3.5483870967741935,367,0,367,0,4,0.12903225806451613,230,0,230,0,20,0.6451612903225806,171,0,171,0,3,0.0967741935483871,652,1,653,0,0,0.0
11004339,andreas,lenz,Dr.,Ebersberg,23.04.1981,,0.0,['Diplom-Betriebswirt (FH)'],51,237,43771,14,43785,0,227,4.450980392156863,1162,12,1174,0,162,3.176470588235294,376,0,376,0,4,0.0784313725490196,236,1,237,0,16,0.3137254901960784,174,0,174,0,2,0.0392156862745098,694,0,694,0,8,0.1568627450980392
11004341,antje,lezius,,Kusel,30.06.1960,,0.0,"['Unternehmensberaterin', 'Betriebswirtin IHK', 'Wirtschafts-Mediatorin']",27,223,41371,45,41416,0,94,3.4814814814814814,1118,29,1147,0,58,2.1481481481481484,342,0,342,0,1,0.037037037037037035,229,0,229,0,2,0.07407407407407407,172,0,172,0,0,0.0,668,0,668,0,2,0.07407407407407407
11004342,andrea,lindholz,,Bonn,25.09.1970,,0.0,"['Rechtsanwältin', 'Fachanwältin Familienrecht']",21,239,44253,17,44270,0,119,5.666666666666667,1180,60,1240,0,81,3.857142857142857,379,0,379,0,0,0.0,239,2,241,0,9,0.42857142857142855,176,0,176,0,2,0.09523809523809523,696,0,696,0,0,0.0
11004344,hiltrud,lotze,,Bauhaus,13.11.1958,,1.0,['Kulturwissenschaftlerin'],0,235,44528,0,44528,0,0,,1419,0,1419,0,0,,615,0,615,0,0,,588,0,588,0,0,,272,0,272,0,0,,581,0,581,0,0,
11004346,yvonne,magwas,,Rodewisch,28.11.1979,,0.0,"['Vizepräsidentin DBT', 'Dipl.-Soziologin']",17,234,43393,6,43399,0,107,6.294117647058823,1162,4,1166,0,30,1.7647058823529411,376,0,376,0,0,0.0,237,1,238,0,2,0.11764705882352941,175,0,175,0,0,0.0,682,0,682,0,0,0.0
11004348,gisela,manderla,,Düsseldorf,11.02.1958,,0.0,['selbstständig im Ingenierbüro Manderla'],24,236,43653,8,43661,0,68,2.8333333333333335,1161,11,1172,0,38,1.5833333333333333,375,0,375,0,2,0.08333333333333333,235,0,235,0,4,0.16666666666666666,173,0,173,0,0,0.0,682,0,682,0,1,0.041666666666666664
11004349,matern,marschall bieberstein,,Freiburg im Breisgau,03.08.1962,,0.0,['Verleger'],32,239,44253,0,44253,0,108,3.375,1180,0,1180,0,54,1.6875,379,0,379,0,1,0.03125,239,0,239,0,2,0.0625,176,0,176,0,2,0.0625,696,0,696,0,5,0.15625
11004352,jan,metzler,,Worms,05.07.1981,,0.0,"['Winzer', 'Dipl.-Betriebswirt (FH)']",8,238,44039,19,44058,0,25,3.125,1178,1,1179,0,6,0.75,377,0,377,0,0,0.0,239,1,240,0,2,0.25,176,0,176,0,0,0.0,691,0,691,0,1,0.125
11004353,irene,mihalic,Dr.,Waldbröl,17.11.1976,,2.0,['Polizeibeamtin'],55,233,31061,12,31073,0,407,7.4,927,163,1090,0,160,2.909090909090909,584,1,585,0,5,0.09090909090909091,689,16,705,0,14,0.2545454545454545,288,0,288,0,3,0.05454545454545454,366,0,366,0,5,0.09090909090909091
11004354,klaus,mindrup,,Lienen,16.05.1964,,1.0,"['freiberuflicher Gutachter', 'Entwickler (Diplom-Biologe)']",38,233,44022,48,44070,0,347,9.131578947368421,1382,93,1475,0,161,4.2368421052631575,612,0,612,0,6,0.15789473684210525,580,4,584,0,21,0.5526315789473685,276,0,276,0,1,0.02631578947368421,583,1,584,0,2,0.05263157894736842
11004355,susanne,mittag,,Cleveland,25.07.1958,,1.0,['ehem. Polizeibeamtin'],37,238,44938,13,44951,0,199,5.378378378378378,1425,16,1441,0,77,2.081081081081081,622,1,623,1,1,0.02702702702702703,587,0,587,0,7,0.1891891891891892,278,0,278,0,0,0.0,588,1,589,0,1,0.02702702702702703
11004356,karsten,moering,,Schneverdingen,30.08.1949,,0.0,['Schulleiter'],52,234,43299,16,43315,0,225,4.326923076923077,1153,44,1197,0,295,5.673076923076923,371,0,371,0,6,0.11538461538461539,234,0,234,0,17,0.3269230769230769,170,0,170,0,1,0.019230769230769232,682,1,683,0,15,0.28846153846153844
11004357,elisabeth,motschmann,,Lübeck,13.10.1952,,0.0,['Staatsrätin a.D.'],54,235,43406,57,43463,0,330,6.111111111111111,1164,72,1236,0,282,5.222222222222222,372,0,372,0,12,0.2222222222222222,236,1,237,0,12,0.2222222222222222,175,0,175,0,1,0.018518518518518517,685,0,685,0,6,0.1111111111111111
11004358,bettina,mueller,,Alzenau-Wasserlos,07.06.1959,,1.0,"['Rechtsanwältin', 'Krankenschwester']",10,206,39066,7,39073,0,52,5.2,1253,2,1255,0,15,1.5,542,0,542,0,0,0.0,502,0,502,0,1,0.1,250,0,250,0,0,0.0,505,0,505,0,0,0.0
11004359,michelle,muentefering,,Herne,09.04.1980,,1.0,['Journalistin'],7,233,44100,0,44100,0,52,7.428571428571429,1404,1,1405,0,15,2.142857142857143,605,0,605,0,0,0.0,569,0,569,0,0,0.0,276,0,276,0,1,0.14285714285714285,584,0,584,0,1,0.14285714285714285
11004361,alexander,neu,Dr.,Harmonie (jetzt Eitorf),19.03.1969,,5.0,['Angestellter'],33,234,29320,16,29336,0,143,4.333333333333333,1125,269,1394,0,94,2.8484848484848486,427,1,428,1,4,0.12121212121212122,655,34,689,0,5,0.15151515151515152,253,2,255,0,0,0.0,229,0,229,0,1,0.030303030303030304
11004362,andreas,nick,Dr.,Koblenz-Moselweiß,26.04.1967,,0.0,"['Hochschullehrer', 'Dipl.-Kaufmann', 'M.I.P.P.']",34,222,40998,14,41012,0,131,3.8529411764705883,1085,10,1095,0,61,1.7941176470588236,353,0,353,0,1,0.029411764705882353,225,0,225,0,2,0.058823529411764705,163,0,163,0,0,0.0,640,0,640,0,0,0.0
11004363,ulli,nissen,,Essen,16.06.1959,,1.0,['Bankkauffrau'],44,232,44015,431,44446,0,228,5.181818181818182,1404,1491,2895,0,136,3.090909090909091,615,8,623,7,4,0.09090909090909091,580,158,738,0,7,0.1590909090909091,276,2,278,0,0,0.0,570,6,576,0,5,0.11363636363636363
11004365,wilfried,oellers,,Mönchengladbach,16.09.1975,,0.0,['Rechtsanwalt'],41,239,44253,16,44269,0,139,3.3902439024390243,1180,17,1197,0,101,2.4634146341463414,379,0,379,0,1,0.024390243902439025,239,1,240,0,6,0.14634146341463414,176,0,176,0,0,0.0,696,0,696,0,4,0.0975609756097561
11004366,florian,ossner,,Vilsbiburg,05.07.1980,,0.0,"['Dipl.-Volkswirt (Uni)', 'Analyst im Risikomanagement']",19,239,44253,14,44267,0,137,7.2105263157894735,1180,39,1219,0,81,4.2631578947368425,379,0,379,0,4,0.21052631578947367,239,0,239,0,14,0.7368421052631579,176,0,176,0,3,0.15789473684210525,696,0,696,0,2,0.10526315789473684
11004367,tim,ostermann,Dr.,Bünde,16.06.1979,,0.0,['Rechtsanwalt'],0,239,44253,0,44253,0,0,,1180,0,1180,0,0,,379,0,379,0,0,,239,0,239,0,0,,176,0,176,0,0,,696,0,696,0,0,
11004368,mahmut,oezdemir,,Duisburg,23.06.1987,,1.0,['Rechtsreferendar'],37,237,44787,15,44802,0,236,6.378378378378378,1420,58,1478,0,208,5.621621621621622,616,0,616,0,13,0.35135135135135137,592,1,593,0,11,0.2972972972972973,279,0,279,0,3,0.08108108108108109,581,0,581,0,5,0.13513513513513514
11004369,ingrid,pahlmann,,Gifhorn,01.12.1957,,0.0,['Hauswirtschaftsleiterin'],11,238,44008,9,44017,0,63,5.7272727272727275,1176,1,1177,0,31,2.8181818181818183,375,0,375,0,1,0.09090909090909091,239,0,239,0,3,0.2727272727272727,175,0,175,0,1,0.09090909090909091,690,0,690,0,3,0.2727272727272727
11004370,sylvia,pantel,,Düsseldorf,01.01.1961,,0.0,['ohne Angaben'],29,239,44253,9,44262,0,126,4.344827586206897,1180,11,1191,0,41,1.4137931034482758,379,0,379,0,1,0.034482758620689655,239,1,240,0,5,0.1724137931034483,176,0,176,0,0,0.0,696,0,696,0,3,0.10344827586206896
11004371,markus,paschke,,Bremen,08.06.1963,,1.0,['Gewerkschaftssekretär'],7,209,38925,0,38925,0,31,4.428571428571429,1232,1,1233,0,7,1.0,537,1,538,1,0,0.0,487,1,488,0,0,0.0,253,0,253,0,0,0.0,518,0,518,0,0,0.0
11004372,martin,patzelt,,Frankfurt (Oder),23.07.1947,,0.0,"['Diplom Sozialpädagoge', 'Sozialarbeiter']",25,237,43761,23,43784,0,93,3.72,1172,5,1177,0,61,2.44,373,0,373,0,0,0.0,239,2,241,0,4,0.16,176,0,176,0,1,0.04,688,0,688,0,6,0.24
11004376,detlev,pilger,,Koblenz,29.04.1955,,1.0,['Dipl.-Religionspädagoge'],7,169,31908,1,31909,0,34,4.857142857142857,1025,1,1026,0,5,0.7142857142857143,442,0,442,0,0,0.0,397,0,397,0,0,0.0,206,0,206,0,1,0.14285714285714285,413,0,413,0,1,0.14285714285714285
11004377,sabine,poschmann,,Castrop-Rauxel,04.10.1968,,1.0,['Betriebswirtin (VWA)'],24,223,42063,11,42074,0,156,6.5,1308,0,1308,0,65,2.7083333333333335,582,0,582,0,0,0.0,543,1,544,0,6,0.25,258,0,258,0,3,0.125,548,0,548,0,2,0.08333333333333333
11004378,achim,post,,Rahden,02.05.1959,,1.0,['Diplom-Soziologe'],16,237,44539,5,44544,0,161,10.0625,1406,7,1413,0,50,3.125,619,0,619,0,3,0.1875,578,0,578,0,3,0.1875,274,0,274,0,1,0.0625,582,0,582,0,1,0.0625
11004379,florian,post,,Neustadt a.d. Waldnaab,27.05.1981,,1.0,['Diplom-Kaufmann (Univ.)'],14,201,37994,4,37998,0,56,4.0,1228,46,1274,0,62,4.428571428571429,514,1,515,1,1,0.07142857142857142,508,0,508,0,10,0.7142857142857143,242,0,242,0,0,0.0,486,1,487,0,0,0.0
11004381,martin,rabanus,,Fulda,02.09.1971,,1.0,['Regierungsdirektor'],44,231,43710,31,43741,0,216,4.909090909090909,1385,40,1425,0,186,4.2272727272727275,604,0,604,0,3,0.06818181818181818,572,0,572,0,8,0.18181818181818182,272,0,272,0,1,0.022727272727272728,571,0,571,0,4,0.09090909090909091
11004382,kerstin,radomski,,Krefeld-Hüls,01.11.1974,,0.0,['Lehrerin'],8,233,43304,4,43308,0,55,6.875,1164,5,1169,0,14,1.75,375,0,375,0,0,0.0,236,0,236,0,0,0.0,176,0,176,0,0,0.0,685,0,685,0,0,0.0
11004383,alexander,radwan,,München,30.08.1964,,0.0,['Rechtsanwalt'],33,235,43513,1,43514,0,149,4.515151515151516,1163,3,1166,0,84,2.5454545454545454,377,0,377,0,1,0.030303030303030304,238,1,239,0,7,0.21212121212121213,175,0,175,0,3,0.09090909090909091,678,0,678,0,4,0.12121212121212122
11004384,alois,rainer,,Straubing,07.01.1965,,0.0,['Metzgermeister'],42,233,43131,0,43131,0,231,5.5,1165,17,1182,0,108,2.5714285714285716,371,0,371,0,3,0.07142857142857142,236,0,236,0,7,0.16666666666666666,173,0,173,0,0,0.0,671,0,671,0,4,0.09523809523809523
11004385,martina,renner,,Mainz,11.03.1967,,5.0,"['Autorin', 'Wissenschaftliche Mitarbeiterin']",12,239,30020,0,30020,0,85,7.083333333333333,1160,8,1168,0,58,4.833333333333333,441,0,441,0,4,0.3333333333333333,670,2,672,0,9,0.75,259,0,259,0,3,0.25,232,0,232,0,1,0.08333333333333333
11004386,daniela,de ridder,Dr.,Kiel,27.11.1962,,1.0,['Unternehmensberaterin'],44,202,37741,120,37861,0,184,4.181818181818182,1160,159,1319,0,107,2.4318181818181817,523,2,525,2,6,0.13636363636363635,506,7,513,0,19,0.4318181818181818,235,1,236,0,3,0.06818181818181818,472,0,472,0,2,0.045454545454545456
11004387,andreas,rimkus,,Düsseldorf,24.12.1962,,1.0,['Elektromeister in der Energiewirtschaft'],11,219,41752,11,41763,0,52,4.7272727272727275,1359,15,1374,0,29,2.6363636363636362,575,0,575,0,0,0.0,567,1,568,0,0,0.0,263,0,263,0,0,0.0,538,0,538,0,5,0.45454545454545453
11004388,dennis,rohde,,Oldenburg,24.06.1986,,1.0,['Rechtsanwalt'],34,237,44955,7,44962,0,277,8.147058823529411,1426,30,1456,0,54,1.588235294117647,613,0,613,0,2,0.058823529411764705,591,5,596,0,11,0.3235294117647059,278,0,278,0,1,0.029411764705882353,591,0,591,0,5,0.14705882352941177
11004389,martin,rosemann,Dr.,Saulgau,20.10.1976,,1.0,['Diplom-Volkswirt'],37,235,44514,55,44569,0,235,6.351351351351352,1402,57,1459,0,102,2.7567567567567566,612,1,613,1,1,0.02702702702702703,580,7,587,0,3,0.08108108108108109,276,0,276,0,1,0.02702702702702703,579,1,580,0,1,0.02702702702702703
11004390,corinna,rueffer,,Osnabrück,11.10.1975,,2.0,['Poltikerin'],37,229,30290,96,30386,0,208,5.621621621621622,918,118,1036,0,67,1.8108108108108107,555,4,559,4,0,0.0,651,16,667,0,3,0.08108108108108109,276,0,276,0,1,0.02702702702702703,347,0,347,0,1,0.02702702702702703
11004391,susann,ruethrich,,Meißen/Sachsen,21.07.1977,,1.0,['Politologin'],33,223,42037,38,42075,0,198,6.0,1343,7,1350,0,67,2.0303030303030303,582,0,582,0,2,0.06060606060606061,561,2,563,0,15,0.45454545454545453,263,0,263,0,0,0.0,550,0,550,0,2,0.06060606060606061
11004392,bernd,ruetzel,,Gemünden a.Main,02.10.1968,,1.0,['TOAR a.D.'],50,239,45205,21,45226,0,297,5.94,1433,77,1510,0,131,2.62,622,0,622,0,5,0.1,594,5,599,0,9,0.18,280,0,280,0,1,0.02,593,1,594,0,6,0.12
11004393,johann,saathoff,,Emden,09.12.1967,,1.0,['Diplom-Verwaltungswirt (FH)'],90,236,44709,22,44731,0,615,6.833333333333333,1420,119,1539,0,210,2.3333333333333335,610,0,610,0,3,0.03333333333333333,589,1,590,0,24,0.26666666666666666,276,0,276,0,0,0.0,590,1,591,0,15,0.16666666666666666
11004395,ulle,schauws,,Hüls,30.04.1966,,2.0,"['Politikerin', 'Filmwissenschaftlerin']",56,235,31127,57,31184,0,308,5.5,944,182,1126,0,81,1.4464285714285714,583,6,589,6,2,0.03571428571428571,689,19,708,0,5,0.08928571428571429,288,0,288,0,3,0.05357142857142857,367,0,367,0,1,0.017857142857142856
11004396,nina,scheer,Dr.,Berlin,11.09.1971,,1.0,"['Juristin', 'Politikwissenschaftlerin', 'Musikerin']",42,226,42754,27,42781,0,184,4.380952380952381,1341,10,1351,0,158,3.761904761904762,593,0,593,0,4,0.09523809523809523,565,2,567,0,6,0.14285714285714285,265,0,265,0,4,0.09523809523809523,561,0,561,0,2,0.047619047619047616
11004397,udo,schiefner,,Kempen,07.08.1959,,1.0,['Qualitätssicherungs-Techniker'],9,230,43561,2,43563,0,50,5.555555555555555,1402,1,1403,0,22,2.4444444444444446,598,0,598,0,0,0.0,580,0,580,0,1,0.1111111111111111,273,0,273,0,0,0.0,571,0,571,0,2,0.2222222222222222
11004398,jana,schimke,,Cottbus,06.09.1979,,0.0,['Politikwissenschaftlerin'],33,222,41143,0,41143,0,141,4.2727272727272725,1088,6,1094,0,244,7.393939393939394,348,0,348,0,4,0.12121212121212122,218,0,218,0,31,0.9393939393939394,163,0,163,0,12,0.36363636363636365,633,0,633,0,2,0.06060606060606061
11004401,dagmar,schmidt,,Gießen,13.03.1973,,1.0,['Historikerin'],32,229,43271,24,43295,0,221,6.90625,1392,24,1416,0,36,1.125,591,0,591,0,0,0.0,570,1,571,0,5,0.15625,270,0,270,0,0,0.0,554,0,554,0,3,0.09375
11004404,ursula,schulte,,Alstätte (jetzt Ahaus),09.08.1952,,1.0,['Hausfrau'],21,230,43314,6,43320,0,160,7.619047619047619,1380,5,1385,0,23,1.0952380952380953,592,0,592,0,1,0.047619047619047616,573,0,573,0,5,0.23809523809523808,271,0,271,0,0,0.0,566,0,566,0,1,0.047619047619047616
11004405,kordula,schulz-asche,,Berlin,31.12.1956,,2.0,"['Krankenschwester', 'Kommunikationswissenschaftlerin']",50,228,30179,117,30296,0,371,7.42,920,184,1104,0,78,1.56,564,4,568,4,4,0.08,670,18,688,0,4,0.08,275,0,275,0,2,0.04,327,1,328,0,3,0.06
11004406,klaus-peter,schulze,Dr.,Döbern,03.07.1954,,0.0,"['Diplom-Lehrer Biologie', 'Chemie']",35,235,43543,28,43571,0,174,4.9714285714285715,1170,2,1172,0,118,3.3714285714285714,375,0,375,0,1,0.02857142857142857,237,0,237,0,3,0.08571428571428572,175,0,175,0,2,0.05714285714285714,684,0,684,0,3,0.08571428571428572
11004407,andreas,schwarz,,Berleburg,03.03.1965,,1.0,['Dipl.-Betriebswirt'],21,238,44989,9,44998,0,136,6.476190476190476,1427,32,1459,0,81,3.857142857142857,620,0,620,0,2,0.09523809523809523,594,1,595,0,4,0.19047619047619047,279,0,279,0,0,0.0,590,0,590,0,3,0.14285714285714285
11004409,tino,sorge,,Ilmenau,04.03.1975,,0.0,['Rechtsanwalt'],24,234,43242,4,43246,0,102,4.25,1157,230,1387,0,100,4.166666666666667,363,1,364,1,5,0.20833333333333334,235,14,249,0,17,0.7083333333333334,171,0,171,0,0,0.0,677,1,678,0,3,0.125
11004410,rainer,spiering,,Erpen (jetzt Dissen),27.01.1956,,1.0,['Berufsschullehrer'],51,236,44517,24,44541,0,304,5.96078431372549,1413,96,1509,0,186,3.6470588235294117,616,2,618,2,8,0.1568627450980392,587,1,588,0,11,0.21568627450980393,278,0,278,0,2,0.0392156862745098,579,1,580,0,16,0.3137254901960784
11004412,svenja,stadler,,Oldenburg (Oldenburg),26.08.1976,,1.0,['Senior-PR-Beraterin'],18,238,44849,4,44853,0,147,8.166666666666666,1420,0,1420,0,37,2.0555555555555554,619,0,619,0,1,0.05555555555555555,588,0,588,0,0,0.0,278,0,278,0,0,0.0,589,0,589,0,2,0.1111111111111111
11004413,martina,stamm-fibich,,Erlangen,23.04.1965,,1.0,"['Marketing-', 'Kommunikationsmanagerin', 'Betriebsrätin']",27,239,45205,6,45211,0,137,5.074074074074074,1433,2,1435,0,42,1.5555555555555556,622,0,622,0,1,0.037037037037037035,594,2,596,0,1,0.037037037037037035,280,0,280,0,0,0.0,593,0,593,0,0,0.0
11004414,wolfgang,stefinger,Dr.,München,20.04.1985,,0.0,['Betriebswirt'],31,234,43186,9,43195,0,155,5.0,1139,5,1144,0,72,2.3225806451612905,368,0,368,0,2,0.06451612903225806,234,0,234,0,12,0.3870967741935484,170,0,170,0,0,0.0,666,0,666,0,2,0.06451612903225806
11004415,albert,stegemann,,Nordhorn,09.03.1976,,0.0,['Staatlich geprüfter Landwirtschaftsmeister'],12,236,43751,5,43756,0,56,4.666666666666667,1167,88,1255,0,14,1.1666666666666667,368,0,368,0,0,0.0,239,1,240,0,3,0.25,176,0,176,0,0,0.0,692,0,692,0,1,0.08333333333333333
11004416,peter,stein,,Siegen,18.01.1968,,0.0,['Diplom-Ingenieur'],22,238,44109,2,44111,0,80,3.6363636363636362,1173,3,1176,0,50,2.272727272727273,377,0,377,0,2,0.09090909090909091,238,0,238,0,3,0.13636363636363635,174,0,174,0,1,0.045454545454545456,694,0,694,0,4,0.18181818181818182
11004417,sebastian,steineke,,Hamburg,19.06.1973,,0.0,['Rechtsanwalt'],22,232,42883,9,42892,0,104,4.7272727272727275,1146,111,1257,0,67,3.0454545454545454,369,0,369,0,1,0.045454545454545456,229,1,230,0,3,0.13636363636363635,175,0,175,0,0,0.0,679,1,680,0,3,0.13636363636363635
11004418,johannes,steiniger,,Bad Dürkheim,18.06.1987,,0.0,['Gymnasiallehrer'],21,238,44074,5,44079,0,167,7.9523809523809526,1179,22,1201,0,138,6.571428571428571,378,0,378,0,6,0.2857142857142857,239,2,241,0,11,0.5238095238095238,176,0,176,0,0,0.0,695,0,695,0,2,0.09523809523809523
11004423,claudia,tausend,,Vilsbiburg,22.07.1964,,1.0,['Diplom-Geographin'],5,239,45205,1,45206,0,40,8.0,1433,1,1434,0,15,3.0,622,0,622,0,0,0.0,594,0,594,0,0,0.0,280,0,280,0,0,0.0,593,0,593,0,0,0.0
11004424,michael,thews,,Bremerhaven,06.09.1964,,1.0,['Diplom-Chemieingenieur'],20,225,42439,6,42445,0,104,5.2,1329,4,1333,0,18,0.9,586,0,586,0,0,0.0,563,1,564,0,1,0.05,264,0,264,0,0,0.0,571,0,571,0,0,0.0
11004426,carsten,traeger,,Fürth,25.10.1973,,1.0,['Diplom-Kommunikationswirt (BAW)'],26,239,45205,24,45229,0,132,5.076923076923077,1433,32,1465,0,83,3.1923076923076925,622,0,622,0,4,0.15384615384615385,594,1,595,0,9,0.34615384615384615,280,0,280,0,3,0.11538461538461539,593,0,593,0,1,0.038461538461538464
11004427,volker,ullrich,Dr.,Illertissen,14.10.1975,,0.0,"['Jurist', 'Dipl.-Kaufmann']",158,238,44039,32,44071,0,837,5.2974683544303796,1178,145,1323,0,475,3.0063291139240507,377,0,377,0,10,0.06329113924050633,239,0,239,0,41,0.25949367088607594,176,0,176,0,4,0.02531645569620253,691,0,691,0,2,0.012658227848101266
11004428,oswin,veith,,Ober-Wöllstadt,16.05.1961,,0.0,['Erster Kreisbeigeordneter a. D.'],3,233,43329,1,43330,0,11,3.6666666666666665,1147,0,1147,0,16,5.333333333333333,372,0,372,0,0,0.0,229,0,229,0,2,0.6666666666666666,175,0,175,0,0,0.0,682,0,682,0,2,0.6666666666666666
11004429,julia,verlinden,Dr.,Bergisch Gladbach,18.01.1979,,2.0,['Diplom-Umweltwissenschaftlerin'],30,237,31477,13,31490,0,152,5.066666666666666,946,187,1133,0,122,4.066666666666666,589,3,592,3,2,0.06666666666666667,696,19,715,0,6,0.2,287,1,288,0,0,0.0,369,2,371,0,0,0.0
11004430,thomas,viesehon,,Volkmarsen,06.08.1973,,0.0,['Bankkaufmann'],0,239,44253,0,44253,0,0,,1180,0,1180,0,0,,379,0,379,0,0,,239,0,239,0,0,,176,0,176,0,0,,696,0,696,0,0,
11004433,dirk,voepel,,Oberhausen,29.05.1971,,1.0,['Selbstständiger Kaufmann'],6,239,45205,2,45207,0,19,3.1666666666666665,1433,0,1433,0,2,0.3333333333333333,622,0,622,0,0,0.0,594,0,594,0,0,0.0,280,0,280,0,0,0.0,593,0,593,0,0,0.0
11004435,kees,vries,,"Nibbixwoud, Niederlande",30.08.1955,,0.0,['selbstständiger Unternehmer'],7,230,42310,2,42312,0,32,4.571428571428571,1129,5,1134,0,13,1.8571428571428572,362,0,362,0,0,0.0,232,0,232,0,2,0.2857142857142857,168,1,169,0,0,0.0,671,0,671,0,0,0.0
11004437,nina,warken,,Bad Mergentheim,15.05.1979,,0.0,['Rechtsanwältin'],9,230,42371,0,42371,0,45,5.0,1126,1,1127,0,25,2.7777777777777777,369,0,369,0,2,0.2222222222222222,225,0,225,0,3,0.3333333333333333,169,0,169,0,0,0.0,679,0,679,0,0,0.0
11004438,gabi,weber,,Ebernhahn,24.03.1955,,1.0,"['Keramikmalerin', 'DGB-Regionsvorsitzende Koblenz']",17,165,30904,7,30911,0,119,7.0,962,11,973,0,54,3.176470588235294,447,0,447,0,0,0.0,410,1,411,0,1,0.058823529411764705,205,0,205,0,0,0.0,393,0,393,0,0,0.0
11004439,albert,weiler,,Mayen,15.10.1965,,0.0,"['Verwaltungs-', 'Betriebswirt', 'Politologe']",22,183,33517,2,33519,0,90,4.090909090909091,922,3,925,0,111,5.045454545454546,263,0,263,0,1,0.045454545454545456,180,0,180,0,6,0.2727272727272727,126,0,126,0,1,0.045454545454545456,502,0,502,0,2,0.09090909090909091
11004440,anja,weisgerber,Dr.,Schweinfurt,11.03.1976,,0.0,['Rechtsanwältin'],50,230,42641,76,42717,0,281,5.62,1134,157,1291,0,237,4.74,365,1,366,1,8,0.16,230,14,244,0,39,0.78,169,4,173,0,3,0.06,667,1,668,0,2,0.04
11004441,marian,wendt,,Torgau,09.06.1985,,0.0,['Dipl.-Verwaltungswirt'],49,238,44087,28,44115,0,263,5.36734693877551,1177,176,1353,0,267,5.448979591836735,379,1,380,1,21,0.42857142857142855,237,19,256,0,21,0.42857142857142855,176,0,176,0,7,0.14285714285714285,693,2,695,0,1,0.02040816326530612
11004442,bernd,westphal,,Hildesheim,30.09.1960,,1.0,"['Gewerkschaftssekretär', 'Chemielaborant']",41,228,42983,13,42996,0,269,6.560975609756097,1380,45,1425,0,80,1.951219512195122,589,0,589,0,5,0.12195121951219512,567,0,567,0,12,0.2926829268292683,266,0,266,0,0,0.0,561,1,562,0,3,0.07317073170731707
11004443,kai,whittaker,,Baden-Baden,10.04.1985,,0.0,['Wirtschaftswissenschaftler M. Sc.'],37,239,44253,10,44263,0,202,5.45945945945946,1180,297,1477,0,337,9.108108108108109,379,0,379,0,7,0.1891891891891892,239,11,250,0,28,0.7567567567567568,176,1,177,0,5,0.13513513513513514,696,1,697,0,4,0.10810810810810811
11004444,dirk,wiese,,Paderborn,11.07.1983,,1.0,['Jurist'],34,216,40720,9,40729,0,223,6.5588235294117645,1272,5,1277,0,113,3.323529411764706,559,0,559,0,1,0.029411764705882353,523,0,523,0,17,0.5,256,0,256,0,0,0.0,528,0,528,0,3,0.08823529411764706
11004445,oliver,wittke,,Marl,24.09.1966,,0.0,"['Diplom-Geograph', 'Parl. Staatssekretär a. D.']",9,238,44038,1,44039,0,56,6.222222222222222,1176,2,1178,0,38,4.222222222222222,378,0,378,0,2,0.2222222222222222,238,0,238,0,1,0.1111111111111111,174,0,174,0,1,0.1111111111111111,693,0,693,0,1,0.1111111111111111
11004448,guelistan,yueksel,,Adana,27.03.1962,,1.0,['Pharmazeutisch-kaufmännische Assistentin'],20,233,43986,5,43991,0,142,7.1,1406,7,1413,0,60,3.0,602,0,602,0,0,0.0,577,1,578,0,4,0.2,272,0,272,0,0,0.0,577,0,577,0,2,0.1
